ticker,entry_date,exit_date,setup_type,sector,sector_uptrend,entry,exit,sl,target,partial_tgt,partial_taken,rr,qty,capital,pnl,exit_reason,ev_pct,result
HDFCBANK.NS,2016-01-21,2016-02-03,RSI_DIVERGENCE,BANKING,False,235.18,239.97,222.8,250.65,247.55,False,1.25,484,113827.0,2319.91,DAY_CAP,1.13,WIN
HDFCBANK.NS,2016-06-20,2016-06-30,TREND_PULLBACK,BANKING,True,269.44,272.68,262.17,278.54,276.72,False,1.25,556,149811.0,1796.62,DAY_CAP,0.64,WIN
HDFCBANK.NS,2016-07-04,2016-07-15,TREND_PULLBACK,BANKING,True,271.83,281.36,264.21,281.36,279.45,True,1.25,551,149778.0,4725.97,TARGET,0.67,WIN
HDFCBANK.NS,2016-11-10,2016-11-23,TREND_PULLBACK,BANKING,True,296.34,284.15,284.15,311.58,308.53,False,1.25,492,145799.0,-5997.54,SL,0.98,LOSS
HDFCBANK.NS,2017-11-06,2017-11-16,TREND_PULLBACK,BANKING,True,426.65,421.77,414.92,441.3,438.37,False,1.25,351,149753.0,-1711.62,DAY_CAP,0.65,LOSS
HDFCBANK.NS,2017-11-20,2017-11-30,TREND_PULLBACK,BANKING,True,428.87,432.5,418.8,441.47,438.95,False,1.25,349,149677.0,1266.2,DAY_CAP,0.56,WIN
HDFCBANK.NS,2018-02-26,2018-03-09,TREND_PULLBACK,BANKING,True,446.0,432.41,432.41,462.99,459.59,False,1.25,336,149856.0,-4566.19,SL,0.72,LOSS
HDFCBANK.NS,2018-06-25,2018-07-05,TREND_PULLBACK,BANKING,True,491.91,498.67,477.79,509.56,506.03,False,1.25,304,149541.0,2055.79,DAY_CAP,0.68,WIN
HDFCBANK.NS,2018-10-23,2018-11-02,RSI_DIVERGENCE,BANKING,False,466.06,446.75,446.75,490.2,485.37,False,1.25,310,144479.0,-5986.09,SL,0.89,LOSS
HDFCBANK.NS,2018-11-02,2018-11-15,RSI_DIVERGENCE,BANKING,True,457.75,463.78,438.62,481.66,476.88,False,1.25,313,143275.0,1888.83,DAY_CAP,0.9,WIN
HDFCBANK.NS,2019-02-05,2019-02-18,TREND_PULLBACK,BANKING,True,496.4,490.73,481.68,514.79,511.11,False,1.25,302,149912.0,-1712.56,DAY_CAP,0.7,LOSS
HDFCBANK.NS,2019-05-21,2019-05-31,TREND_PULLBACK,BANKING,True,564.41,569.49,543.5,590.55,585.32,False,1.25,265,149569.0,1347.17,DAY_CAP,0.88,WIN
HDFCBANK.NS,2019-10-15,2019-10-27,TREND_PULLBACK,BANKING,True,579.22,586.16,548.37,617.78,610.07,False,1.25,194,112369.0,1345.99,DAY_CAP,1.26,WIN
HDFCBANK.NS,2019-12-17,2019-12-30,TREND_PULLBACK,BANKING,True,601.98,607.21,585.37,622.73,618.58,False,1.25,249,149892.0,1303.07,DAY_CAP,0.65,WIN
HDFCBANK.NS,2020-01-13,2020-01-23,TREND_PULLBACK,BANKING,True,609.03,590.51,590.51,632.19,627.56,False,1.25,246,149822.0,-4556.87,SL,0.72,LOSS
HDFCBANK.NS,2020-09-25,2020-10-08,RSI_DIVERGENCE,BANKING,False,494.43,525.71,469.4,525.71,519.45,True,1.25,239,118168.0,6732.03,TARGET,1.09,WIN
HDFCBANK.NS,2020-12-15,2020-12-28,TREND_PULLBACK,BANKING,True,658.9,669.11,629.23,696.0,688.58,False,1.25,202,133098.0,2061.59,DAY_CAP,1.07,WIN
HDFCBANK.NS,2021-01-04,2021-01-14,TREND_PULLBACK,BANKING,True,670.6,705.33,642.82,705.33,698.38,True,1.25,215,144179.0,6723.21,TARGET,0.98,WIN
HDFCBANK.NS,2021-03-01,2021-03-12,TREND_PULLBACK,BANKING,True,738.28,734.98,690.97,797.4,785.58,False,1.25,126,93023.0,-414.73,DAY_CAP,1.52,LOSS
HDFCBANK.NS,2022-02-01,2022-02-11,RSI_DIVERGENCE,BANKING,True,712.03,722.42,676.83,756.03,747.23,False,1.25,170,121045.0,1766.75,DAY_CAP,1.06,WIN
HDFCBANK.NS,2023-01-02,2023-01-12,TREND_PULLBACK,BANKING,True,783.68,759.27,759.27,814.19,808.09,False,1.25,191,149682.0,-4661.92,SL,0.74,LOSS
HDFCBANK.NS,2023-05-15,2023-05-25,TREND_PULLBACK,BANKING,True,806.34,778.66,778.66,840.94,834.02,False,1.25,186,149979.0,-5148.67,SL,0.82,LOSS
HDFCBANK.NS,2023-07-17,2023-07-27,TREND_PULLBACK,BANKING,True,817.1,814.3,786.28,855.61,847.91,False,1.25,183,149529.0,-512.12,DAY_CAP,0.9,LOSS
HDFCBANK.NS,2023-07-27,2023-08-08,TREND_PULLBACK,BANKING,True,814.3,790.99,790.99,843.44,837.61,False,1.25,184,149831.0,-4288.71,SL,0.68,LOSS
HDFCBANK.NS,2024-07-22,2024-08-01,TREND_PULLBACK,BANKING,True,810.32,808.47,781.66,846.14,838.98,False,1.25,185,149910.0,-342.25,DAY_CAP,0.84,LOSS
HDFCBANK.NS,2024-09-03,2024-09-13,TREND_PULLBACK,BANKING,True,807.76,821.87,786.58,834.23,828.94,False,1.25,185,149435.0,2610.22,DAY_CAP,0.62,WIN
HDFCBANK.NS,2024-10-21,2024-10-31,TREND_PULLBACK,BANKING,True,852.82,856.28,816.91,897.72,888.74,False,1.25,167,142421.0,576.7,DAY_CAP,1.0,WIN
HDFCBANK.NS,2024-11-05,2024-11-18,TREND_PULLBACK,BANKING,True,867.2,832.69,832.69,910.35,901.72,False,1.25,172,149159.0,-5936.24,SL,0.95,LOSS
HDFCBANK.NS,2024-11-25,2024-12-05,TREND_PULLBACK,BANKING,True,880.89,927.39,843.69,927.39,918.09,True,1.25,161,141824.0,6742.03,TARGET,1.0,WIN
